Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Agfa ePhoto 1280,1997,1024.0,640.0,0.0,38.0,114.0,70.0,40.0,4.0,420.0,95.0,179.0
Agfa ePhoto CL45,2001,1600.0,640.0,1.0,51.0,51.0,50.0,20.0,8.0,270.0,119.0,179.0
Canon PowerShot A100,2002,1280.0,1024.0,1.0,39.0,39.0,20.0,5.0,8.0,225.0,110.0,139.0
Canon PowerShot A310,2004,2048.0,1600.0,3.0,33.0,33.0,0.0,5.0,0.0,205.0,110.0,139.0
Canon PowerShot A430,2006,2272.0,1600.0,4.0,39.0,156.0,47.0,1.0,16.0,210.0,103.0,139.0
Canon PowerShot A510,2005,2048.0,1600.0,3.0,35.0,140.0,0.0,5.0,16.0,230.0,91.0,139.0
Canon PowerShot A560,2007,3072.0,2592.0,7.0,35.0,140.0,45.0,5.0,16.0,205.0,91.0,149.0
Canon PowerShot A620,2005,3072.0,3072.0,7.0,35.0,140.0,0.0,1.0,32.0,285.0,105.0,139.0
Canon PowerShot A700,2006,2816.0,2272.0,6.0,35.0,210.0,55.0,1.0,16.0,250.0,94.0,139.0
Canon PowerShot A85,2004,2272.0,1600.0,4.0,35.0,105.0,0.0,5.0,32.0,300.0,101.0,139.0
Canon EOS-1D Mark III,2007,3888.0,3456.0,10.0,0.0,0.0,0.0,0.0,0.0,1335.0,156.0,4499.0
Canon EOS 20D,2004,3504.0,2544.0,8.0,0.0,0.0,0.0,0.0,0.0,770.0,144.0,1299.0
Canon EOS 400D / Digital Rebel XTi,2006,3888.0,2816.0,10.0,0.0,0.0,0.0,0.0,0.0,556.0,127.0,1299.0
Canon PowerShot G1,2000,2048.0,1024.0,3.0,34.0,102.0,70.0,6.0,16.0,490.0,120.0,499.0
Canon PowerShot G7,2006,3648.0,2816.0,10.0,35.0,210.0,50.0,1.0,32.0,380.0,106.0,499.0
Canon PowerShot S10,1999,1600.0,1280.0,1.0,35.0,70.0,46.0,12.0,8.0,320.0,106.0,399.0
Canon PowerShot S200,2002,1600.0,1024.0,1.0,35.0,70.0,57.0,10.0,8.0,250.0,87.0,199.0
Canon PowerShot S330,2002,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,274.0,95.0,199.0
Canon PowerShot S45,2002,2272.0,1600.0,3.0,35.0,105.0,50.0,10.0,32.0,323.0,112.0,139.0
Canon PowerShot S70,2004,3072.0,2592.0,7.0,28.0,100.0,50.0,4.0,32.0,300.0,114.0,399.0
Canon PowerShot SD110,2004,2048.0,1600.0,3.0,35.0,70.0,0.0,10.0,16.0,195.0,85.0,199.0
Canon PowerShot SD40,2006,3072.0,2592.0,7.0,38.0,90.0,0.0,10.0,16.0,120.0,96.0,199.0
Canon PowerShot SD550,2005,3072.0,2592.0,7.0,37.0,111.0,0.0,5.0,32.0,185.0,90.0,199.0
Canon PowerShot SD800 IS,2006,3072.0,2592.0,7.0,28.0,105.0,0.0,3.0,16.0,195.0,90.0,384.0
Canon PowerShot SX100 IS,2007,3264.0,2592.0,8.0,36.0,360.0,50.0,1.0,32.0,316.0,109.0,299.0
Casio Exilim EX-S100,2004,2048.0,1600.0,3.0,36.0,102.0,40.0,17.0,9.0,123.0,88.0,249.0
Casio Exilim EX-S600d,2006,2816.0,2304.0,6.0,38.0,114.0,40.0,15.0,8.0,155.0,90.0,249.0
Casio Exilim EX-Z1000,2006,3648.0,2560.0,10.0,38.0,114.0,40.0,6.0,8.0,185.0,92.0,329.0
Casio Exilim EX-Z1200 SR,2007,4000.0,3264.0,12.0,37.0,111.0,40.0,6.0,11.0,162.0,93.0,329.0
Casio Exilim EX-Z5,2006,2560.0,2304.0,4.0,38.0,114.0,40.0,10.0,8.0,160.0,95.0,329.0
Casio Exilim EX-Z60,2006,2816.0,2304.0,6.0,38.0,114.0,40.0,10.0,8.0,148.0,95.0,329.0
Casio Exilim EX-Z77,2007,3072.0,2560.0,7.0,38.0,114.0,40.0,10.0,11.0,128.0,95.0,199.0
Casio QV-2000UX,1999,1600.0,800.0,1.0,36.0,108.0,50.0,20.0,8.0,320.0,130.0,249.0
Casio QV-2900UX,2001,1600.0,800.0,1.0,40.0,320.0,40.0,1.0,8.0,295.0,81.0,249.0
Casio QV-4000,2001,2240.0,1600.0,3.0,34.0,102.0,30.0,6.0,16.0,420.0,118.0,249.0
Casio QV-7000SX,1998,1280.0,640.0,1.0,32.0,64.0,23.0,10.0,8.0,320.0,141.0,249.0
Casio QV-R40,2003,2304.0,2240.0,4.0,39.0,117.0,60.0,10.0,11.0,210.0,88.0,249.0
Contax N Digital,2000,3040.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,549.0
Epson PhotoPC 3000 Zoom,2000,2048.0,640.0,3.0,34.0,102.0,50.0,5.0,16.0,360.0,107.0,399.0
Epson PhotoPC 650,1999,1152.0,640.0,0.0,39.0,39.0,60.0,15.0,8.0,400.0,135.0,229.0
Epson PhotoPC L-410,2004,2304.0,1600.0,4.0,34.0,102.0,50.0,11.0,16.0,203.0,92.0,129.0
Fujifilm DS-300,1997,1280.0,640.0,1.0,35.0,105.0,20.0,20.0,0.0,700.0,153.0,169.0
